Condition,Implementation_DataType,Average_Time_ms,Sample_Count
SELECT,chunk__BOOLEAN,0.570,3908
COMPLEX_SELECT,chunk__BOOLEAN,0.815,100
DELETE,chunk__BOOLEAN,0.543,982
COMPLEX_UPDATE,chunk__BOOLEAN,0.622,100
SEQUENTIAL_TEST,chunk__BOOLEAN,0.001,1000
RANGE_TEST,chunk__BOOLEAN,0.127,100
UPDATE,chunk__BOOLEAN,0.575,3021
INSERT,chunk__BOOLEAN,0.003,2997
COMPLEX_DELETE,chunk__BOOLEAN,0.816,100
FREQUENCY_TEST,chunk__BOOLEAN,0.001,10000
BOOLEAN_CONDITION,chunk__BOOLEAN,2.284,100
SELECT,chunk__BOOLEAN,0.551,4000
COMPLEX_SELECT,chunk__BOOLEAN,0.790,100
DELETE,chunk__BOOLEAN,0.571,1002
COMPLEX_UPDATE,chunk__BOOLEAN,0.783,100
SEQUENTIAL_TEST,chunk__BOOLEAN,0.001,1000
RANGE_TEST,chunk__BOOLEAN,0.143,100
UPDATE,chunk__BOOLEAN,0.616,2973
INSERT,chunk__BOOLEAN,0.003,3041
COMPLEX_DELETE,chunk__BOOLEAN,0.760,100
FREQUENCY_TEST,chunk__BOOLEAN,0.001,10000
BOOLEAN_CONDITION,chunk__BOOLEAN,2.368,100
SELECT,chunk__BOOLEAN,0.578,3984
COMPLEX_SELECT,chunk__DATE,0.721,100
DELETE,chunk__DATE,0.460,997
COMPLEX_UPDATE,chunk__DATE,0.567,100
SEQUENTIAL_TEST,chunk__DATE,0.002,1000
DATE_CONDITION,chunk__DATE,2.048,100
RANGE_TEST,chunk__DATE,0.139,100
UPDATE,chunk__DATE,0.475,2992
INSERT,chunk__DATE,0.004,3020
COMPLEX_DELETE,chunk__DATE,0.710,100
FREQUENCY_TEST,chunk__DATE,0.002,10000
SELECT,chunk__DATE,0.487,3991
COMPLEX_SELECT,chunk__DATE,0.467,100
DELETE,chunk__DATE,0.441,1087
COMPLEX_UPDATE,chunk__DATE,0.529,100
SEQUENTIAL_TEST,chunk__DATE,0.002,1000
DATE_CONDITION,chunk__DATE,1.853,100
RANGE_TEST,chunk__DATE,0.134,100
UPDATE,chunk__DATE,0.442,2991
INSERT,chunk__DATE,0.003,2986
COMPLEX_DELETE,chunk__DATE,0.681,100
FREQUENCY_TEST,chunk__DATE,0.001,10000
SELECT,chunk__DATE,0.449,3936
COMPLEX_SELECT,chunk__DATE,0.679,100
DELETE,chunk__DATE,0.515,1071
COMPLEX_UPDATE,chunk__DATE,0.495,100
SEQUENTIAL_TEST,chunk__DATE,0.001,1000
DATE_CONDITION,chunk__DATE,1.897,100
RANGE_TEST,chunk__DATE,0.133,100
UPDATE,chunk__DATE,0.494,2972
INSERT,chunk__DATE,0.004,2976
COMPLEX_DELETE,chunk__DATE,0.677,100
FREQUENCY_TEST,chunk__DATE,0.002,10000
SELECT,chunk__DATE,0.482,3981
COMPLEX_SELECT,lfu__SMALL_STRING,1.400,100
DELETE,lfu__SMALL_STRING,0.056,1008
COMPLEX_UPDATE,lfu__SMALL_STRING,0.044,100
SEQUENTIAL_TEST,lfu__SMALL_STRING,0.033,1000
UNKNOWN_CONDITION,lfu__SMALL_STRING,0.234,100
RANGE_TEST,lfu__SMALL_STRING,0.203,100
UPDATE,lfu__SMALL_STRING,0.060,2955
INSERT,lfu__SMALL_STRING,0.004,3007
COMPLEX_DELETE,lfu__SMALL_STRING,0.060,100
FREQUENCY_TEST,lfu__SMALL_STRING,0.012,10000
SELECT,lfu__SMALL_STRING,0.830,4030
COMPLEX_SELECT,lfu__SMALL_STRING,1.227,100
DELETE,lfu__SMALL_STRING,0.057,971
COMPLEX_UPDATE,lfu__SMALL_STRING,0.061,100
SEQUENTIAL_TEST,lfu__SMALL_STRING,0.041,1000
UNKNOWN_CONDITION,lfu__SMALL_STRING,0.241,100
RANGE_TEST,lfu__SMALL_STRING,0.079,100
UPDATE,lfu__SMALL_STRING,0.056,2905
INSERT,lfu__SMALL_STRING,0.003,3084
COMPLEX_DELETE,lfu__SMALL_STRING,0.056,100
FREQUENCY_TEST,lfu__SMALL_STRING,0.009,10000
SELECT,lfu__SMALL_STRING,0.851,4040
COMPLEX_SELECT,lfu__SMALL_STRING,1.106,100
DELETE,lfu__SMALL_STRING,0.053,1012
COMPLEX_UPDATE,lfu__SMALL_STRING,0.056,100
SEQUENTIAL_TEST,lfu__SMALL_STRING,0.052,1000
UNKNOWN_CONDITION,lfu__SMALL_STRING,0.247,100
RANGE_TEST,lfu__SMALL_STRING,0.090,100
UPDATE,lfu__SMALL_STRING,0.059,2840
INSERT,lfu__SMALL_STRING,0.003,3140
COMPLEX_DELETE,lfu__SMALL_STRING,0.059,100
FREQUENCY_TEST,lfu__SMALL_STRING,0.011,10000
SELECT,lfu__SMALL_STRING,0.857,4008
COMPLEX_SELECT,lfu__MEDIUM_STRING,1.228,100
DELETE,lfu__MEDIUM_STRING,0.054,966
COMPLEX_UPDATE,lfu__MEDIUM_STRING,0.060,100
SEQUENTIAL_TEST,lfu__MEDIUM_STRING,0.051,1000
UNKNOWN_CONDITION,lfu__MEDIUM_STRING,0.280,100
RANGE_TEST,lfu__MEDIUM_STRING,0.098,100
UPDATE,lfu__MEDIUM_STRING,0.063,3054
INSERT,lfu__MEDIUM_STRING,0.004,2994
COMPLEX_DELETE,lfu__MEDIUM_STRING,0.060,100
FREQUENCY_TEST,lfu__MEDIUM_STRING,0.011,10000
SELECT,lfu__MEDIUM_STRING,0.818,3986
COMPLEX_SELECT,lfu__MEDIUM_STRING,1.374,100
DELETE,lfu__MEDIUM_STRING,0.056,1003
COMPLEX_UPDATE,lfu__MEDIUM_STRING,0.059,100
SEQUENTIAL_TEST,lfu__MEDIUM_STRING,0.045,1000
UNKNOWN_CONDITION,lfu__MEDIUM_STRING,0.270,100
RANGE_TEST,lfu__MEDIUM_STRING,0.092,100
UPDATE,lfu__MEDIUM_STRING,0.061,2981
INSERT,lfu__MEDIUM_STRING,0.004,3008
COMPLEX_DELETE,lfu__MEDIUM_STRING,0.049,100
FREQUENCY_TEST,lfu__MEDIUM_STRING,0.010,10000
SELECT,lfu__MEDIUM_STRING,0.837,4008
COMPLEX_SELECT,lfu__MEDIUM_STRING,1.408,100
DELETE,lfu__MEDIUM_STRING,0.053,1033
COMPLEX_UPDATE,lfu__MEDIUM_STRING,0.052,100
SEQUENTIAL_TEST,lfu__MEDIUM_STRING,0.038,1000
UNKNOWN_CONDITION,lfu__MEDIUM_STRING,0.269,100
RANGE_TEST,lfu__MEDIUM_STRING,0.091,100
UPDATE,lfu__MEDIUM_STRING,0.059,3024
INSERT,lfu__MEDIUM_STRING,0.004,2988
COMPLEX_DELETE,lfu__MEDIUM_STRING,0.070,100
FREQUENCY_TEST,lfu__MEDIUM_STRING,0.009,10000
SELECT,lfu__MEDIUM_STRING,0.837,3955
COMPLEX_SELECT,lfu__LARGE_STRING,1.383,100
DELETE,lfu__LARGE_STRING,0.060,987
COMPLEX_UPDATE,lfu__LARGE_STRING,0.082,100
SEQUENTIAL_TEST,lfu__LARGE_STRING,0.039,1000
UNKNOWN_CONDITION,lfu__LARGE_STRING,0.419,100
RANGE_TEST,lfu__LARGE_STRING,0.127,100
UPDATE,lfu__LARGE_STRING,0.070,3063
INSERT,lfu__LARGE_STRING,0.009,2964
COMPLEX_DELETE,lfu__LARGE_STRING,0.065,100
FREQUENCY_TEST,lfu__LARGE_STRING,0.008,10000
SELECT,lfu__LARGE_STRING,0.888,3986
COMPLEX_SELECT,lfu__LARGE_STRING,1.549,100
DELETE,lfu__LARGE_STRING,0.060,934
COMPLEX_UPDATE,lfu__LARGE_STRING,0.064,100
SEQUENTIAL_TEST,lfu__LARGE_STRING,0.038,1000
UNKNOWN_CONDITION,lfu__LARGE_STRING,0.490,100
RANGE_TEST,lfu__LARGE_STRING,0.131,100
UPDATE,lfu__LARGE_STRING,0.076,2996
INSERT,lfu__LARGE_STRING,0.009,3088
COMPLEX_DELETE,lfu__LARGE_STRING,0.044,100
FREQUENCY_TEST,lfu__LARGE_STRING,0.008,10000
SELECT,lfu__LARGE_STRING,0.915,3982
COMPLEX_SELECT,lfu__LARGE_STRING,1.230,100
DELETE,lfu__LARGE_STRING,0.065,1058
COMPLEX_UPDATE,lfu__LARGE_STRING,0.082,100
SEQUENTIAL_TEST,lfu__LARGE_STRING,0.038,1000
UNKNOWN_CONDITION,lfu__LARGE_STRING,0.417,100
RANGE_TEST,lfu__LARGE_STRING,0.140,100
UPDATE,lfu__LARGE_STRING,0.072,2963
INSERT,lfu__LARGE_STRING,0.009,3065
COMPLEX_DELETE,lfu__LARGE_STRING,0.058,100
FREQUENCY_TEST,lfu__LARGE_STRING,0.008,10000
SELECT,lfu__LARGE_STRING,0.894,3914
COMPLEX_SELECT,lfu__SMALL_INTEGER,0.155,100
DELETE,lfu__SMALL_INTEGER,0.007,999
COMPLEX_UPDATE,lfu__SMALL_INTEGER,0.014,100
SEQUENTIAL_TEST,lfu__SMALL_INTEGER,0.042,1000
RANGE_TEST,lfu__SMALL_INTEGER,0.078,100
UPDATE,lfu__SMALL_INTEGER,0.009,3076
INSERT,lfu__SMALL_INTEGER,0.001,3002
COMPLEX_DELETE,lfu__SMALL_INTEGER,0.007,100
FREQUENCY_TEST,lfu__SMALL_INTEGER,0.008,10000
GREATER_THAN_CONDITION,lfu__SMALL_INTEGER,0.004,100
SELECT,lfu__SMALL_INTEGER,0.103,3923
COMPLEX_SELECT,lfu__SMALL_INTEGER,0.163,100
DELETE,lfu__SMALL_INTEGER,0.007,1004
COMPLEX_UPDATE,lfu__SMALL_INTEGER,0.009,100
SEQUENTIAL_TEST,lfu__SMALL_INTEGER,0.041,1000
RANGE_TEST,lfu__SMALL_INTEGER,0.077,100
UPDATE,lfu__SMALL_INTEGER,0.009,3021
INSERT,lfu__SMALL_INTEGER,0.001,2968
COMPLEX_DELETE,lfu__SMALL_INTEGER,0.007,100
FREQUENCY_TEST,lfu__SMALL_INTEGER,0.011,10000
GREATER_THAN_CONDITION,lfu__SMALL_INTEGER,0.003,100
SELECT,lfu__SMALL_INTEGER,0.101,4007
COMPLEX_SELECT,lfu__SMALL_INTEGER,0.152,100
DELETE,lfu__SMALL_INTEGER,0.008,976
COMPLEX_UPDATE,lfu__SMALL_INTEGER,0.009,100
SEQUENTIAL_TEST,lfu__SMALL_INTEGER,0.036,1000
RANGE_TEST,lfu__SMALL_INTEGER,0.314,100
UPDATE,lfu__SMALL_INTEGER,0.011,2945
INSERT,lfu__SMALL_INTEGER,0.002,3007
COMPLEX_DELETE,lfu__SMALL_INTEGER,0.007,100
FREQUENCY_TEST,lfu__SMALL_INTEGER,0.010,10000
GREATER_THAN_CONDITION,lfu__SMALL_INTEGER,0.004,100
SELECT,lfu__SMALL_INTEGER,0.117,4072
COMPLEX_SELECT,lfu__LARGE_INTEGER,0.161,100
DELETE,lfu__LARGE_INTEGER,0.008,999
COMPLEX_UPDATE,lfu__LARGE_INTEGER,0.011,100
SEQUENTIAL_TEST,lfu__LARGE_INTEGER,0.041,1000
RANGE_TEST,lfu__LARGE_INTEGER,0.078,100
UPDATE,lfu__LARGE_INTEGER,0.010,2970
INSERT,lfu__LARGE_INTEGER,0.001,3072
COMPLEX_DELETE,lfu__LARGE_INTEGER,0.008,100
FREQUENCY_TEST,lfu__LARGE_INTEGER,0.009,10000
GREATER_THAN_CONDITION,lfu__LARGE_INTEGER,0.004,100
SELECT,lfu__LARGE_INTEGER,0.110,3959
COMPLEX_SELECT,lfu__LARGE_INTEGER,0.159,100
DELETE,lfu__LARGE_INTEGER,0.008,1036
COMPLEX_UPDATE,lfu__LARGE_INTEGER,0.010,100
SEQUENTIAL_TEST,lfu__LARGE_INTEGER,0.047,1000
RANGE_TEST,lfu__LARGE_INTEGER,0.082,100
UPDATE,lfu__LARGE_INTEGER,0.010,2979
INSERT,lfu__LARGE_INTEGER,0.002,2929
COMPLEX_DELETE,lfu__LARGE_INTEGER,0.008,100
FREQUENCY_TEST,lfu__LARGE_INTEGER,0.009,10000
GREATER_THAN_CONDITION,lfu__LARGE_INTEGER,0.003,100
SELECT,lfu__LARGE_INTEGER,0.103,4056
COMPLEX_SELECT,lfu__LARGE_INTEGER,0.162,100
DELETE,lfu__LARGE_INTEGER,0.008,950
COMPLEX_UPDATE,lfu__LARGE_INTEGER,0.011,100
SEQUENTIAL_TEST,lfu__LARGE_INTEGER,0.040,1000
RANGE_TEST,lfu__LARGE_INTEGER,0.079,100
UPDATE,lfu__LARGE_INTEGER,0.010,2996
INSERT,lfu__LARGE_INTEGER,0.001,3022
COMPLEX_DELETE,lfu__LARGE_INTEGER,0.009,100
FREQUENCY_TEST,lfu__LARGE_INTEGER,0.009,10000
GREATER_THAN_CONDITION,lfu__LARGE_INTEGER,0.003,100
SELECT,lfu__LARGE_INTEGER,0.107,4032
COMPLEX_SELECT,lfu__DECIMAL,0.102,100
DELETE,lfu__DECIMAL,0.005,1022
COMPLEX_UPDATE,lfu__DECIMAL,0.010,100
SEQUENTIAL_TEST,lfu__DECIMAL,0.032,1000
UNKNOWN_CONDITION,lfu__DECIMAL,0.457,100
RANGE_TEST,lfu__DECIMAL,0.171,100
UPDATE,lfu__DECIMAL,0.009,2966
INSERT,lfu__DECIMAL,0.002,3017
COMPLEX_DELETE,lfu__DECIMAL,0.006,100
FREQUENCY_TEST,lfu__DECIMAL,0.010,10000
SELECT,lfu__DECIMAL,0.049,3995
COMPLEX_SELECT,lfu__DECIMAL,0.074,100
DELETE,lfu__DECIMAL,0.005,995
COMPLEX_UPDATE,lfu__DECIMAL,0.010,100
SEQUENTIAL_TEST,lfu__DECIMAL,0.038,1000
UNKNOWN_CONDITION,lfu__DECIMAL,0.468,100
RANGE_TEST,lfu__DECIMAL,0.146,100
UPDATE,lfu__DECIMAL,0.009,2992
INSERT,lfu__DECIMAL,0.002,2958
COMPLEX_DELETE,lfu__DECIMAL,0.006,100
FREQUENCY_TEST,lfu__DECIMAL,0.008,10000
SELECT,lfu__DECIMAL,0.052,4055
COMPLEX_SELECT,lfu__DECIMAL,0.074,100
DELETE,lfu__DECIMAL,0.005,1027
COMPLEX_UPDATE,lfu__DECIMAL,0.008,100
SEQUENTIAL_TEST,lfu__DECIMAL,0.040,1000
UNKNOWN_CONDITION,lfu__DECIMAL,0.452,100
RANGE_TEST,lfu__DECIMAL,0.153,100
UPDATE,lfu__DECIMAL,0.009,3032
INSERT,lfu__DECIMAL,0.002,3027
COMPLEX_DELETE,lfu__DECIMAL,0.005,100
FREQUENCY_TEST,lfu__DECIMAL,0.008,10000
SELECT,lfu__DECIMAL,0.052,3914
COMPLEX_SELECT,lfu__BOOLEAN,1.417,100
DELETE,lfu__BOOLEAN,0.051,1021
COMPLEX_UPDATE,lfu__BOOLEAN,0.062,100
SEQUENTIAL_TEST,lfu__BOOLEAN,0.041,1000
RANGE_TEST,lfu__BOOLEAN,0.075,100
UPDATE,lfu__BOOLEAN,0.060,2937
INSERT,lfu__BOOLEAN,0.003,2971
COMPLEX_DELETE,lfu__BOOLEAN,0.058,100
FREQUENCY_TEST,lfu__BOOLEAN,0.008,10000
BOOLEAN_CONDITION,lfu__BOOLEAN,3.941,100
SELECT,lfu__BOOLEAN,0.876,4071
